counter_id,counter,daily_range_high,daily_range_low,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
1,AIRTEL,,,22.05,0.0,22.0,22.0,0.0,1.25,5.68,6.57,15.21,15.37,242000.0,15908.0,11000000000.0,2020-08-03,14:40:30
2,BHL,,,0.0,12.94,12.94,12.94,0.0,0.2,1.55,4.29,23.28,1.67,10866.37,466.7,839750705.0,2020-08-03,14:40:30
3,FDHB,15.0,12.5,12.5,15.0,10.0,14.99,1118097.0,0.0,0.0,7.58,13.18,4.56,103446.46,7846.36,6901031250.0,2020-08-03,14:40:30
4,FMBCH,25.5,25.5,22.0,25.5,25.5,25.5,20000.0,0.0,0.0,-5.87,-17.03,1.09,62685.38,-3679.93,2458250000.0,2020-08-03,14:40:30
5,ICON,12.7,12.7,12.7,13.0,12.7,12.7,194000.0,0.21,1.65,8.54,11.7,1.15,84836.0,7248.62,6680000000.0,2020-08-03,14:40:30
6,ILLOVO,,,80.5,94.5,94.5,94.5,0.0,0.5,0.53,14.96,6.69,0.95,67420.49,10083.0,713444391.0,2020-08-03,14:40:30
7,MPICO,,,0.0,21.0,21.0,21.0,0.0,0.25,1.19,11.46,8.72,1.24,48259.0,5532.02,2298047460.0,2020-08-03,14:40:30
8,NBM,550.0,550.0,0.0,625.0,550.0,550.0,5000.0,17.91,3.26,6.66,15.01,2.55,256812.46,17106.0,466931738.0,2020-08-03,14:40:30
9,NBS,19.49,19.49,18.0,19.49,19.49,19.49,8216.0,0.35,1.8,7.86,12.73,3.7,56727.07,4457.61,2910573356.0,2020-08-03,14:40:30
10,NICO,,,41.5,47.99,47.99,47.99,0.0,1.45,3.02,16.0,6.25,1.57,50055.54,8011.0,1043041096.0,2020-08-03,14:40:30
11,NITL,,,0.0,94.99,94.99,94.99,0.0,0.75,0.79,13.88,7.21,1.11,12823.65,1779.69,135000000.0,2020-08-03,14:40:30
